,time,latitude,longitude,platform
2393,2023-04-01 04:45:22,-37.684333333333335,17.809833333333334,WGSV3-052
2392,2023-04-01 05:00:22,-37.68816666666667,17.807833333333335,WGSV3-052
2391,2023-04-01 05:15:22,-37.69233333333333,17.805666666666664,WGSV3-052
2390,2023-04-01 05:30:22,-37.69716666666667,17.805999999999997,WGSV3-052
2389,2023-04-01 05:45:22,-37.702,17.808666666666667,WGSV3-052
2388,2023-04-01 06:00:22,-37.70683333333333,17.81116666666667,WGSV3-052
2387,2023-04-01 06:15:22,-37.711,17.815,WGSV3-052
2386,2023-04-01 06:30:22,-37.713499999999996,17.822666666666667,WGSV3-052
2385,2023-04-01 06:45:22,-37.71583333333333,17.83,WGSV3-052
2384,2023-04-01 07:00:22,-37.715333333333334,17.837833333333332,WGSV3-052
2383,2023-04-01 07:15:22,-37.71266666666667,17.846166666666665,WGSV3-052
2382,2023-04-01 07:30:22,-37.70933333333333,17.853666666666665,WGSV3-052
2381,2023-04-01 07:45:22,-37.70283333333334,17.857000000000003,WGSV3-052
2380,2023-04-01 08:00:22,-37.696333333333335,17.860500000000002,WGSV3-052
2379,2023-04-01 08:15:22,-37.690333333333335,17.859166666666667,WGSV3-052
2378,2023-04-01 08:30:22,-37.684666666666665,17.856333333333335,WGSV3-052
2377,2023-04-01 08:59:27,-37.676833333333335,17.847666666666665,WGSV3-052
2376,2023-04-01 09:14:27,-37.67483333333333,17.841833333333334,WGSV3-052
2375,2023-04-01 09:29:27,-37.673,17.836166666666667,WGSV3-052
2374,2023-04-01 09:44:27,-37.67266666666667,17.831,WGSV3-052
2373,2023-04-01 09:59:27,-37.67433333333334,17.826,WGSV3-052
2372,2023-04-01 10:14:27,-37.676,17.820666666666668,WGSV3-052
2371,2023-04-01 10:29:27,-37.67783333333333,17.815166666666666,WGSV3-052
2370,2023-04-01 10:44:27,-37.6815,17.811333333333334,WGSV3-052
2369,2023-04-01 10:59:27,-37.68683333333333,17.811,WGSV3-052
2368,2023-04-01 11:14:27,-37.69266666666667,17.813499999999998,WGSV3-052
2367,2023-04-01 11:29:27,-37.69883333333333,17.816166666666668,WGSV3-052
2366,2023-04-01 11:44:28,-37.705000000000005,17.818666666666665,WGSV3-052
2365,2023-04-01 11:59:28,-37.711,17.821166666666667,WGSV3-052
2364,2023-04-01 12:14:28,-37.717,17.823666666666668,WGSV3-052
2363,2023-04-01 12:29:28,-37.722833333333334,17.826166666666666,WGSV3-052
2362,2023-04-01 12:44:28,-37.72866666666666,17.828666666666667,WGSV3-052
2361,2023-04-01 13:13:32,-37.73866666666667,17.833166666666667,WGSV3-052
2360,2023-04-01 13:28:32,-37.743833333333335,17.835833333333333,WGSV3-052
2359,2023-04-01 13:43:32,-37.748666666666665,17.83833333333333,WGSV3-052
2358,2023-04-01 13:58:32,-37.75266666666666,17.842666666666666,WGSV3-052
2357,2023-04-01 14:13:32,-37.75533333333333,17.8505,WGSV3-052
2356,2023-04-01 14:28:32,-37.75783333333333,17.858333333333334,WGSV3-052
2355,2023-04-01 14:43:32,-37.75633333333334,17.866333333333333,WGSV3-052
2354,2023-04-01 14:58:32,-37.75366666666666,17.874833333333335,WGSV3-052
2353,2023-04-01 15:13:32,-37.74983333333333,17.881333333333334,WGSV3-052
2352,2023-04-01 15:28:32,-37.743500000000004,17.884666666666664,WGSV3-052
2351,2023-04-01 15:43:32,-37.73733333333333,17.887833333333333,WGSV3-052
2350,2023-04-01 15:58:32,-37.732166666666664,17.8865,WGSV3-052
2349,2023-04-01 16:13:32,-37.727,17.88383333333333,WGSV3-052
2348,2023-04-01 16:28:32,-37.72183333333333,17.880999999999997,WGSV3-052
2347,2023-04-01 16:43:32,-37.719166666666666,17.877333333333336,WGSV3-052
2346,2023-04-01 16:58:32,-37.71933333333333,17.873333333333335,WGSV3-052
2345,2023-04-01 17:27:37,-37.725,17.87,WGSV3-052
2344,2023-04-01 17:42:37,-37.728833333333334,17.868833333333335,WGSV3-052
